date,high,low,close
"Feb 01, 2016",378.07,367.96,373.06
"Jan 31, 2016",380.35,367.83,368.77
"Jan 30, 2016",380.92,376.49,378.26
"Jan 29, 2016",384.38,365.45,379.47
"Jan 28, 2016",395.50,379.73,380.29
"Jan 27, 2016",396.84,391.78,394.97
"Jan 26, 2016",397.77,390.58,392.15
"Jan 25, 2016",402.32,388.55,391.73
"Jan 24, 2016",405.48,387.51,402.97
"Jan 23, 2016",394.54,381.98,387.49
"Jan 22, 2016",410.41,375.28,382.49
"Jan 21, 2016",422.88,406.30,410.26
"Jan 20, 2016",425.27,376.60,420.23
"Jan 19, 2016",387.73,378.97,380.15
"Jan 18, 2016",388.10,376.67,387.17
"Jan 17, 2016",390.96,380.09,382.30
"Jan 16, 2016",390.56,354.91,387.54
"Jan 15, 2016",430.26,364.33,364.33
"Jan 14, 2016",433.32,427.85,430.31
"Jan 13, 2016",435.19,424.44,432.37
"Jan 12, 2016",448.18,435.69,435.69
"Jan 11, 2016",450.66,443.86,448.43
"Jan 10, 2016",448.31,440.35,447.99
"Jan 09, 2016",454.64,446.89,447.61
"Jan 08, 2016",462.93,447.94,453.23
"Jan 07, 2016",458.77,429.08,458.05
"Jan 06, 2016",431.86,426.34,429.11
"Jan 05, 2016",434.18,429.68,431.96
"Jan 04, 2016",434.52,429.08,433.09
"Jan 03, 2016",433.74,424.71,430.01
"Jan 02, 2016",436.06,431.87,433.44
"Jan 01, 2016",436.25,427.52,434.33
"Dec 31, 2015",432.92,418.73,430.57
"Dec 30, 2015",434.39,422.08,426.62
"Dec 29, 2015",432.98,420.63,432.98
"Dec 28, 2015",429.77,418.48,422.28
"Dec 27, 2015",424.01,408.88,422.82
"Dec 26, 2015",457.49,405.76,417.27
"Dec 25, 2015",458.30,452.08,455.65
"Dec 24, 2015",458.46,443.08,454.98
"Dec 23, 2015",444.53,436.62,442.40
"Dec 22, 2015",443.69,435.52,436.57
"Dec 21, 2015",444.73,427.31,438.64
"Dec 20, 2015",462.64,434.34,442.68
"Dec 19, 2015",465.58,456.77,462.32
"Dec 18, 2015",465.18,454.94,463.62
"Dec 17, 2015",457.86,448.86,456.08
"Dec 16, 2015",465.21,443.85,454.93
"Dec 15, 2015",465.32,443.88,465.32
"Dec 14, 2015",447.14,430.46,444.18
"Dec 13, 2015",441.68,426.27,433.76
"Dec 12, 2015",469.10,410.74,435.00
"Dec 11, 2015",451.94,415.28,451.94
"Dec 10, 2015",419.51,411.55,415.48
"Dec 09, 2015",423.12,406.29,417.56
"Dec 08, 2015",415.56,389.95,415.56
"Dec 07, 2015",399.97,385.41,395.54
"Dec 06, 2015",402.81,387.09,388.78
"Dec 05, 2015",389.79,363.23,388.95
"Dec 04, 2015",363.52,355.76,363.18
"Dec 03, 2015",370.27,357.41,361.05
"Dec 02, 2015",362.23,349.46,359.19
"Dec 01, 2015",378.93,356.56,362.49
"Nov 30, 2015",382.36,370.38,377.32
"Nov 29, 2015",371.94,355.67,371.29
"Nov 28, 2015",359.54,352.17,357.38
"Nov 27, 2015",363.59,347.87,358.04
"Nov 26, 2015",366.76,328.23,352.68
"Nov 25, 2015",329.13,316.77,328.21
"Nov 24, 2015",323.06,318.12,320.05
"Nov 23, 2015",325.12,321.29,323.05
"Nov 22, 2015",327.01,321.26,324.54
"Nov 21, 2015",328.16,319.60,326.93
"Nov 20, 2015",326.47,312.22,322.02
"Nov 19, 2015",335.33,325.27,326.15
"Nov 18, 2015",336.53,330.64,334.59
"Nov 17, 2015",338.35,329.61,335.09
"Nov 16, 2015",331.63,315.90,330.75
"Nov 15, 2015",334.66,317.49,320.17
"Nov 14, 2015",338.18,329.97,332.91
"Nov 13, 2015",340.91,326.08,336.75
"Nov 12, 2015",345.08,313.36,338.15
"Nov 11, 2015",340.58,301.00,311.08
"Nov 10, 2015",381.39,329.11,336.82
"Nov 09, 2015",385.28,362.89,380.26
"Nov 08, 2015",389.89,368.70,373.37
"Nov 07, 2015",390.59,372.43,386.48
"Nov 06, 2015",395.84,354.02,374.47
"Nov 05, 2015",447.56,374.58,386.35
"Nov 04, 2015",495.56,380.55,411.56
"Nov 03, 2015",417.90,357.65,403.42
"Nov 02, 2015",365.36,323.21,361.19
"Nov 01, 2015",327.47,311.88,325.43
"Oct 31, 2015",332.78,309.25,314.17
"Oct 30, 2015",334.17,313.94,328.02
"Oct 29, 2015",318.17,301.82,313.86
"Oct 28, 2015",306.33,293.70,304.62
"Oct 27, 2015",296.21,285.01,293.79
"Oct 26, 2015",285.30,280.51,285.30
"Oct 25, 2015",294.06,281.45,283.68
"Oct 24, 2015",281.71,276.50,281.65
"Oct 23, 2015",278.68,273.54,276.50
"Oct 22, 2015",276.51,266.14,274.02
"Oct 21, 2015",270.77,263.84,266.27
"Oct 20, 2015",270.83,263.23,269.46
"Oct 19, 2015",264.82,260.95,263.44
"Oct 18, 2015",271.67,260.78,261.64
"Oct 17, 2015",273.58,262.37,270.64
"Oct 16, 2015",266.14,253.93,262.87
"Oct 15, 2015",255.96,252.05,254.32
"Oct 14, 2015",254.27,248.90,251.99
"Oct 13, 2015",250.24,243.76,249.51
"Oct 12, 2015",247.45,245.18,245.31
"Oct 11, 2015",247.24,244.15,247.05
"Oct 10, 2015",245.32,243.07,244.94
"Oct 09, 2015",244.23,242.12,243.93
"Oct 08, 2015",244.25,242.18,242.30
"Oct 07, 2015",246.68,242.59,242.97
"Oct 06, 2015",246.93,240.14,246.06
"Oct 05, 2015",240.38,237.04,240.38
"Oct 04, 2015",238.97,237.94,238.26
"Oct 03, 2015",239.32,236.94,238.73
"Oct 02, 2015",238.54,236.60,237.29
"Oct 01, 2015",238.45,235.62,237.55
"Sep 30, 2015",237.73,235.63,236.06
"Sep 29, 2015",239.80,235.93,236.69
"Sep 28, 2015",239.34,232.47,239.14
"Sep 27, 2015",234.53,232.48,232.76
"Sep 26, 2015",235.40,233.36,234.34
"Sep 25, 2015",237.43,233.68,235.14
"Sep 24, 2015",235.65,230.29,234.53
"Sep 23, 2015",231.84,229.59,230.28
"Sep 22, 2015",232.39,225.12,230.62
"Sep 21, 2015",231.22,226.52,227.09
"Sep 20, 2015",232.37,230.91,231.21
"Sep 19, 2015",233.21,231.09,231.49
"Sep 18, 2015",234.35,232.18,232.98
"Sep 17, 2015",230.29,228.93,229.81
"Sep 16, 2015",231.21,227.40,229.09
"Sep 15, 2015",259.18,229.82,230.30
"Sep 14, 2015",232.44,227.96,230.64
"Sep 13, 2015",235.93,229.33,230.51
"Sep 12, 2015",240.12,234.75,235.23
"Sep 11, 2015",241.17,238.33,240.11
"Sep 10, 2015",241.29,235.79,238.48
"Sep 09, 2015",244.42,237.82,238.17
"Sep 08, 2015",245.78,239.68,243.61
"Sep 07, 2015",242.11,238.72,239.85
"Sep 06, 2015",242.91,234.68,239.84
"Sep 05, 2015",236.14,229.44,235.02
"Sep 04, 2015",230.90,227.05,230.30
"Sep 03, 2015",229.60,226.67,227.18
"Sep 02, 2015",230.58,226.48,229.28
"Sep 01, 2015",231.22,226.86,228.12
"Aug 31, 2015",231.96,225.91,230.06
"Aug 30, 2015",232.07,226.25,228.76
"Aug 29, 2015",233.22,227.33,229.78
"Aug 28, 2015",235.22,220.93,231.40
"Aug 27, 2015",228.64,223.68,224.77
"Aug 26, 2015",231.18,220.20,225.83
"Aug 25, 2015",226.32,199.57,221.61
"Aug 24, 2015",228.14,210.44,210.49
"Aug 23, 2015",232.71,225.58,228.17
"Aug 22, 2015",234.96,222.70,230.39
"Aug 21, 2015",236.43,231.72,232.57
"Aug 20, 2015",237.37,226.90,235.35
"Aug 19, 2015",237.41,222.77,226.68
"Aug 18, 2015",257.99,211.08,211.08
"Aug 17, 2015",260.51,257.12,257.98
"Aug 16, 2015",262.44,257.04,258.51
"Aug 15, 2015",266.67,261.30,261.55
"Aug 14, 2015",267.47,261.48,265.68
"Aug 13, 2015",266.23,262.84,264.08
"Aug 12, 2015",270.67,265.47,266.38
"Aug 11, 2015",270.39,264.09,270.39
"Aug 10, 2015",267.03,262.60,264.47
"Aug 09, 2015",267.00,260.47,265.08
"Aug 08, 2015",279.93,260.71,261.00
"Aug 07, 2015",280.39,276.37,279.58
"Aug 06, 2015",281.91,278.40,278.58
"Aug 05, 2015",285.50,281.49,281.88
"Aug 04, 2015",285.71,281.23,285.22
"Aug 03, 2015",285.47,280.23,281.23
"Aug 02, 2015",283.03,277.53,282.61
"Aug 01, 2015",284.93,278.11,281.60
"Jul 31, 2015",288.96,282.34,284.65
"Jul 30, 2015",290.13,286.57,287.72
"Jul 29, 2015",294.54,288.78,289.59
"Jul 28, 2015",296.65,293.42,294.43
"Jul 27, 2015",297.77,287.45,293.62
"Jul 26, 2015",293.05,287.71,292.69
"Jul 25, 2015",290.73,286.00,288.70
"Jul 24, 2015",289.25,275.25,288.28
"Jul 23, 2015",278.11,275.72,276.05
"Jul 22, 2015",277.67,274.38,277.22
"Jul 21, 2015",280.55,275.42,275.83
"Jul 20, 2015",278.98,272.96,278.98
"Jul 19, 2015",275.67,272.51,273.61
"Jul 18, 2015",282.53,274.08,274.90
"Jul 17, 2015",280.28,272.04,279.47
"Jul 16, 2015",291.18,275.24,278.09
"Jul 15, 2015",293.25,285.37,285.83
"Jul 14, 2015",296.15,286.64,287.46
"Jul 13, 2015",310.95,281.01,292.05
"Jul 12, 2015",314.39,292.51,310.87
"Jul 11, 2015",298.51,283.53,293.11
"Jul 10, 2015",294.59,268.80,284.89
"Jul 09, 2015",272.33,267.09,269.23
"Jul 08, 2015",272.97,264.39,270.79
"Jul 07, 2015",271.34,264.83,266.21
"Jul 06, 2015",277.42,267.60,269.03
"Jul 05, 2015",274.51,258.70,271.91
"Jul 04, 2015",261.46,254.20,260.89
"Jul 03, 2015",257.08,253.51,256.34
"Jul 02, 2015",261.63,254.12,255.41
"Jul 01, 2015",265.17,255.77,258.62
"Jun 30, 2015",267.87,255.95,263.07
"Jun 29, 2015",257.17,248.58,257.06
"Jun 28, 2015",251.17,247.43,249.01
"Jun 27, 2015",251.34,243.12,250.99
"Jun 26, 2015",243.75,241.55,243.59
"Jun 25, 2015",243.33,240.37,242.80
"Jun 24, 2015",244.34,240.51,240.51
"Jun 23, 2015",247.30,243.13,244.30
"Jun 22, 2015",247.92,243.78,246.99
"Jun 21, 2015",245.22,241.88,243.94
"Jun 20, 2015",245.83,240.63,245.21
"Jun 19, 2015",250.98,243.79,244.61
"Jun 18, 2015",252.11,244.13,249.01
"Jun 17, 2015",256.85,246.48,249.28
"Jun 16, 2015",251.74,236.12,250.90
"Jun 15, 2015",237.84,233.42,236.82
